




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Crl02vSal02_NegFC_DEGs.txt (Sus scrofa)
Reference List:	FS27_BackgroundGenes.txt (Sus scrofa)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	FS27_BackgroundGenes.txt - REFLIST (12250)	Crl02vSal02_NegFC_DEGs.txt (152)	Crl02vSal02_NegFC_DEGs.txt (expected)	Crl02vSal02_NegFC_DEGs.txt (over/under)	Crl02vSal02_NegFC_DEGs.txt (fold Enrichment)	Crl02vSal02_NegFC_DEGs.txt (raw P-value)	Crl02vSal02_NegFC_DEGs.txt (FDR)
negative regulation of vascular associated smooth muscle cell proliferation (GO:1904706)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
peroxisome fission (GO:0016559)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to adherens junction (GO:1904702)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein import into peroxisome matrix (GO:0016558)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
peroxisome membrane biogenesis (GO:0016557)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA modification (GO:0016556)	24	0	.30	-	 < 0.01	1.00E00	1.00E00
cytidine to uridine editing (GO:0016554)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
base conversion or substitution editing (GO:0016553)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
histone H3-K9 trimethylation (GO:0036124)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone H3-K9 dimethylation (GO:0036123)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to platelet-derived growth factor stimulus (GO:0036120)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
protein autoprocessing (GO:0016540)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
response to platelet-derived growth factor (GO:0036119)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleotide biosynthetic process (GO:0030810)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
long-chain fatty-acyl-CoA catabolic process (GO:0036116)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA catabolic process (GO:0036115)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty-acyl-CoA catabolic process (GO:0036114)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
medium-chain fatty-acyl-CoA metabolic process (GO:0036112)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty-acyl-CoA metabolic process (GO:0036111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
meiosis II cell cycle process (GO:0061983)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
meiosis I cell cycle process (GO:0061982)	67	0	.83	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleotide biosynthetic process (GO:0030809)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of nucleotide biosynthetic process (GO:0030808)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
leukotriene catabolic process (GO:0036100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
articular cartilage development (GO:0061975)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
perichondral bone morphogenesis (GO:0061974)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane bone morphogenesis (GO:0061973)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of left/right asymmetry (GO:0061966)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
rDNA heterochromatin formation (GO:0000183)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
penetration of cumulus oophorus (GO:0061956)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
midbody abscission (GO:0061952)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
regulation of protein K48-linked ubiquitination (GO:0061945)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein K48-linked ubiquitination (GO:0061944)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
monocyte extravasation (GO:0035696)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitophagy by induced vacuole formation (GO:0035695)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial protein catabolic process (GO:0035694)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
protein localization to somatodendritic compartment (GO:0061938)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
macrophage migration inhibitory factor signaling pathway (GO:0035691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
rRNA modification (GO:0000154)	31	0	.38	-	 < 0.01	1.00E00	1.00E00
leukocyte degranulation (GO:0043299)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
helper T cell diapedesis (GO:0035685)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
helper T cell extravasation (GO:0035684)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
memory T cell extravasation (GO:0035683)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine propionylation (GO:0061921)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
manchette assembly (GO:1905198)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
neuromast hair cell development (GO:0035675)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid transmembrane transport (GO:0035674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
autophagosome-endosome fusion (GO:0061910)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein serine/threonine phosphatase activity (GO:1905184)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of mitotic spindle orientation (GO:0000132)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
response to alkaloid (GO:0043279)	23	0	.29	-	 < 0.01	1.00E00	1.00E00
TRAM-dependent toll-like receptor 4 signaling pathway (GO:0035669)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to morphine (GO:0043278)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
TRAM-dependent toll-like receptor signaling pathway (GO:0035668)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
apoptotic cell clearance (GO:0043277)	24	0	.30	-	 < 0.01	1.00E00	1.00E00
anoikis (GO:0043276)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
TIRAP-dependent toll-like receptor 4 signaling pathway (GO:0035665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
autophagosome-lysosome fusion (GO:0061909)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
TIRAP-dependent toll-like receptor signaling pathway (GO:0035664)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glial cell activation (GO:0061900)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle tissue regeneration (GO:1905179)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle tissue regeneration (GO:1905178)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of vascular associated smooth muscle cell dedifferentiation (GO:1905176)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of vascular associated smooth muscle cell dedifferentiation (GO:1905174)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to phagocytic vesicle (GO:1905171)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion transport (GO:0043268)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of potassium ion transport (GO:0043267)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion transport (GO:0043266)	34	0	.42	-	 < 0.01	1.00E00	1.00E00
B cell costimulation (GO:0031296)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
T cell costimulation (GO:0031295)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
lymphocyte costimulation (GO:0031294)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
membrane protein intracellular domain proteolysis (GO:0031293)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
Ran protein signal transduction (GO:0031291)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
retinal ganglion cell axon guidance (GO:0031290)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to phagocytic vesicle (GO:1905169)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of double-strand break repair via homologous recombination (GO:1905168)	33	0	.41	-	 < 0.01	1.00E00	1.00E00
positive regulation of lysosomal protein catabolic process (GO:1905167)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of lysosomal protein catabolic process (GO:1905166)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lysosomal protein catabolic process (GO:1905165)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of transcription involved in G2/M transition of mitotic cell cycle (GO:0000117)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phagosome maturation (GO:1905162)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endosome to melanosome transport (GO:0035646)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
phosphoanandamide dephosphorylation (GO:0035644)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
locomotory exploration behavior (GO:0035641)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
exploration behavior (GO:0035640)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of guanylate cyclase activity (GO:0031284)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of guanylate cyclase activity (GO:0031283)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of guanylate cyclase activity (GO:0031282)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of cyclase activity (GO:0031281)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of cyclase activity (GO:0031280)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of membrane invagination (GO:1905155)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of membrane invagination (GO:1905153)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
sulfate assimilation (GO:0000103)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
FMN biosynthetic process (GO:0009398)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of voltage-gated sodium channel activity (GO:1905150)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
folic acid-containing compound catabolic process (GO:0009397)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
sulfur amino acid transport (GO:0000101)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
folic acid-containing compound biosynthetic process (GO:0009396)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
erythrocyte maturation (GO:0043249)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
phospholipid catabolic process (GO:0009395)	28	0	.35	-	 < 0.01	1.00E00	1.00E00
proteasome assembly (GO:0043248)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
telomere maintenance in response to DNA damage (GO:0043247)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
multicellular organismal signaling (GO:0035637)	43	0	.53	-	 < 0.01	1.00E00	1.00E00
response to stilbenoid (GO:0035634)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein-containing complex disassembly (GO:0043243)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
maintenance of blood-brain barrier (GO:0035633)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of cyclase activity (GO:0031279)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
bone mineralization involved in bone maturation (GO:0035630)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of pseudopodium assembly (GO:0031274)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of pseudopodium assembly (GO:0031272)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
lysosomal protein catabolic process (GO:1905146)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to acetylcholine (GO:1905145)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
response to acetylcholine (GO:1905144)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
translational attenuation (GO:0009386)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide transport (GO:0035627)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
receptor transactivation (GO:0035624)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
intrahepatic bile duct development (GO:0035622)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ER to Golgi ceramide transport (GO:0035621)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
pseudopodium assembly (GO:0031269)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pseudopodium organization (GO:0031268)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
biotin import across plasma membrane (GO:1905135)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of meiotic chromosome separation (GO:1905133)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of meiotic chromosome separation (GO:1905132)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
stress granule disassembly (GO:0035617)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein branching point deglutamylation (GO:0035611)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein side chain deglutamylation (GO:0035610)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of glucosylceramidase activity (GO:1905123)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
C-terminal protein deglutamylation (GO:0035609)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein deglutamylation (GO:0035608)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
myelin maintenance (GO:0043217)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
protein deacylation (GO:0035601)	59	0	.73	-	 < 0.01	1.00E00	1.00E00
tRNA methylthiolation (GO:0035600)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
actin rod assembly (GO:0031247)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of lateral attachment of mitotic spindle microtubules to kinetochore (GO:1905116)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of lateral attachment of mitotic spindle microtubules to kinetochore (GO:1905115)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to leucine (GO:0043201)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
response to amino acid (GO:0043200)	42	0	.52	-	 < 0.01	1.00E00	1.00E00
auditory behavior (GO:0031223)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
post-translational protein targeting to membrane, translocation (GO:0031204)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
oligosaccharide catabolic process (GO:0009313)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
oligosaccharide biosynthetic process (GO:0009312)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
amine catabolic process (GO:0009310)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
snRNA transcription by RNA polymerase III (GO:0042796)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
snRNA transcription by RNA polymerase II (GO:0042795)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
5S class rRNA transcription by RNA polymerase III (GO:0042791)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleolar large rRNA transcription by RNA polymerase I (GO:0042790)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
protein secretion (GO:0009306)	52	0	.65	-	 < 0.01	1.00E00	1.00E00
positive regulation of vascular associated smooth muscle contraction (GO:1904695)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular associated smooth muscle contraction (GO:1904694)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
rRNA transcription (GO:0009303)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
midbrain morphogenesis (GO:1904693)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
snRNA transcription (GO:0009301)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of type B pancreatic cell proliferation (GO:1904691)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of cytoplasmic translational initiation (GO:1904690)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
mRNA transcription by RNA polymerase II (GO:0042789)	32	0	.40	-	 < 0.01	1.00E00	1.00E00
positive regulation of developmental pigmentation (GO:0048087)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-end processing (GO:0042780)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic translational initiation (GO:1904688)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of metalloendopeptidase activity (GO:1904685)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of metalloendopeptidase activity (GO:1904684)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of metalloendopeptidase activity (GO:1904683)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
tRNA 3'-trailer cleavage (GO:0042779)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
proton motive force-driven mitochondrial ATP synthesis (GO:0042776)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
DNA damage response, signal transduction resulting in transcription (GO:0042772)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of eye pigmentation (GO:0048073)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of developmental pigmentation (GO:0048070)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of somatic stem cell population maintenance (GO:1904672)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
eye pigmentation (GO:0048069)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid biosynthetic process (GO:0042761)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
very long-chain fatty acid catabolic process (GO:0042760)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
ATP export (GO:1904669)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ubiquitin protein ligase activity (GO:1904668)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
germ cell proliferation (GO:0036093)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of ubiquitin protein ligase activity (GO:1904667)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3-phosphate biosynthetic process (GO:0036092)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of ubiquitin protein ligase activity (GO:1904666)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0036091)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cleavage furrow ingression (GO:0036090)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid biosynthetic process (GO:0042759)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
long-chain fatty acid catabolic process (GO:0042758)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
drinking behavior (GO:0042756)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
eating behavior (GO:0042755)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of circadian rhythm (GO:0042753)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
post-embryonic eye morphogenesis (GO:0048050)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
cleavage furrow formation (GO:0036089)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
GDP-fucose import into Golgi lumen (GO:0036085)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose transmembrane transport (GO:1904659)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
regulation of circadian sleep/wake cycle (GO:0042749)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
circadian sleep/wake cycle, non-REM sleep (GO:0042748)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
circadian sleep/wake cycle (GO:0042745)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide catabolic process (GO:0042744)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
hydrogen peroxide metabolic process (GO:0042743)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
embryonic eye morphogenesis (GO:0048048)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
focal adhesion assembly (GO:0048041)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
ligamentous ossification (GO:0036076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
direct ossification (GO:0036072)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to amyloid-beta (GO:1904646)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
N-glycan fucosylation (GO:0036071)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to amyloid-beta (GO:1904645)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
embryonic digit morphogenesis (GO:0042733)	26	0	.32	-	 < 0.01	1.00E00	1.00E00
D-xylose metabolic process (GO:0042732)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
fibrinolysis (GO:0042730)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
protein O-linked fucosylation (GO:0036066)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
fucosylation (GO:0036065)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular response to ionomycin (GO:1904637)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
response to ionomycin (GO:1904636)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of podocyte apoptotic process (GO:1904635)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
slit diaphragm assembly (GO:0036060)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of podocyte apoptotic process (GO:1904633)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide hormone processing (GO:0016486)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
flavin-containing compound biosynthetic process (GO:0042727)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipase C activity (GO:1900275)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
flavin-containing compound metabolic process (GO:0042726)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of long-term synaptic potentiation (GO:1900273)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
thiamine-containing compound biosynthetic process (GO:0042724)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of long-term synaptic potentiation (GO:1900272)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
thiamine-containing compound metabolic process (GO:0042723)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of long-term synaptic potentiation (GO:1900271)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of melanin biosynthetic process (GO:0048023)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of melanin biosynthetic process (GO:0048022)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
filtration diaphragm assembly (GO:0036058)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to phorbol 13-acetate 12-myristate (GO:1904628)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
response to phorbol 13-acetate 12-myristate (GO:1904627)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of transcription by RNA polymerase I (GO:0016479)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-directed DNA polymerase activity (GO:1900262)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
sperm ejaculation (GO:0042713)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of RNA-directed 5'-3' RNA polymerase activity (GO:1900260)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maternal behavior (GO:0042711)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inositol phosphate-mediated signaling (GO:0048016)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
ephrin receptor signaling pathway (GO:0048013)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
hepatocyte growth factor receptor signaling pathway (GO:0048012)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
neurotrophin TRK receptor signaling pathway (GO:0048011)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor receptor signaling pathway (GO:0048010)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine desuccinylation (GO:0036049)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein desuccinylation (GO:0036048)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine demalonylation (GO:0036047)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein demalonylation (GO:0036046)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of actin binding (GO:1904618)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of actin binding (GO:1904617)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of actin binding (GO:1904616)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of RNA-directed 5'-3' RNA polymerase activity (GO:1900259)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
insulin-like growth factor receptor signaling pathway (GO:0048009)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor receptor signaling pathway (GO:0048008)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
progesterone secretion (GO:0042701)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation, exogenous lipid antigen via MHC class Ib (GO:0048007)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation, endogenous lipid antigen via MHC class Ib (GO:0048006)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of lipid antigen via MHC class Ib (GO:0048003)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
antigen processing and presentation of peptide antigen (GO:0048002)	22	0	.27	-	 < 0.01	1.00E00	1.00E00
CD8-positive, alpha-beta T cell activation (GO:0036037)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
osteoclast development (GO:0036035)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic translational elongation (GO:1900247)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of RIG-I signaling pathway (GO:1900246)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of MDA-5 signaling pathway (GO:1900245)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic vesicle endocytosis (GO:1900244)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle endocytosis (GO:1900242)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of phenotypic switching (GO:1900240)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ovulation (GO:0030728)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
embryonic skeletal limb joint morphogenesis (GO:0036023)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
limb joint morphogenesis (GO:0036022)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of phenotypic switching (GO:1900239)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
somatic hypermutation of immunoglobulin genes (GO:0016446)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of metanephric mesenchymal cell migration by platelet-derived growth factor receptor-beta signaling pathway (GO:1900238)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of Kit signaling pathway (GO:1900235)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
